"I'm not sure.",ちょっとわからないな。
"After you.",お先にどうぞ
Careful!,気をつけて！
"Good for you.",よかったね！
Here.,はいどうぞ。
"Not yet.",まだです。
Almost.,おしい。
"Please don't.",やめて。
"Don't be shy.",はずかしがらないで。
"See you later.",またね。
"Come on in.",どうぞ入って。
"I'll get it.",私がやっておきます。
"Tell me too.",私にも教えて。
"Just a little.",少しだけ。
"Never mind.",気にしないで
"That's all.",以上です。
"Borrow it.",それかして！
Okay!,わかりました。
"Hold on!",ちょっと待って！
"Listen up!",聞いてね。
"Almost there.",もうすぐ着くよ。
"Join me!",一緒に来て。
"Is that enough?",それでたりる？
"What’s wrong?",どうしたの？
"I can't wait!",待ちきれないよ。
"Give me that!",それください。
"It's my turn.",私の番だよ。
"Stop it.",やめて
"Let me do it.",私にやらせて。
"Who cares.",だからなんなの。
"I'll check there.",そこを確認してみます。
"I love this.",これが大好きです。
"Are you sure?",本当ですか？
"Take your time.",ゆっくりでいいですよ。
"Good luck.",がんばって。
"That's stylish!",それ、かっこいい！
"Strike a pose.",ポーズして。
"Let's hurry up.",急ごう。
"That's right.",正解です。
"Please write it down.",書いてください。
"Just joking.",冗談だよ。
"Here it is.",はい、どうぞ。
"I'm with you!",あなたと同じ気持ちです。
"How often?",どのくらいの頻度で？
"Trust me.",まかせて。
"Check it out.",調べてみて。
"Here you are.",どうぞ
"My pleasure.",よろこんで
"See you Monday.",また月曜日に。
"It depends.",場合によるね。
Enjoy.,楽しんで。
"You decide.",あなたが決めて。
"I'm with you.",同感だね
"I'm in trouble.",困ってます
"I'm just looking",見てるだけです。
"To go, please.",テイクアウトにします。
"I know.",知ってるよ。
"Answer the phone.",電話に出て！
"Can I try?",やってみていい？
"Is it?",そうなの？
"I'm coming.",今行くよ
"Why is that?",なぜですか？
Sure.,いいよ。
"Are you ready?",準備できた？
"Do I have to?",やらなくてはいけませんか？
"That's enough.",十分です。
"Is that necessary?",それって必要ですか？
"That's weird.",へんだよ。
"Let's not fight.",けんかはやめよう。
